"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1",1,"Missad straff","11:11","","Emma Enholm","Täfteå IK /Sävar IK","Period2","Täfteå IK /Sävar IK - Röbäcks IF","Straff","Lydia Elstig","Sanna Åslin","Lydia Elstig, Sanna Åslin"
"2",2,"Straffmål","15:27","3-0","Klara Nyberg","Gullänget-Kroksta IBS","Period1","Gullänget-Kroksta IBS - Umeå City IBF","Straff","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"3",3,"Missad straff","01:48","","Tilde Linrin","Röbäcks IF","Period3","Vindelns IF - Röbäcks IF","Straff","David Karlsson","Mattias Karlsson","David Karlsson, Mattias Karlsson"
"4",4,"Missad straff","05:19","",NA,"Kågedalens AIF","Period3","Umeå City IBF - Kågedalens AIF","Straff","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"5",5,"Straffmål","13:24","1-1","Saga Burvall","IBF Dalen","Period3","Umeå City IBF - IBF Dalen","Straff","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"6",6,"Missad straff","03:57","","Nelly Saari","Spöland Vännäs IF","Period3","Holmsund City IBC/GUIF - Spöland Vännäs IF","Straff","Alexandra Nimrodsson","Hanna Wendén","Alexandra Nimrodsson, Hanna Wendén"
"7",7,"Straffmål","17:01","0-4","Ida Eriksson","Vindelns IF","Period2","Vindelns IF - Täfteå IK /Sävar IK","Straff","Julia Fältén","Louise Ramebäck","Julia Fältén, Louise Ramebäck"
"8",8,"Straffmål","14:54","3-6","Emelie Olofsson","Täfteå IK /Sävar IK","Period3","Täfteå IK /Sävar IK - Vindelns IF","Straff","Kim Fallbjörk","Rasmus Säfvenberg","Kim Fallbjörk, Rasmus Säfvenberg"
"9",9,"Straffmål","13:56","1-2","Elina Snickars","Ersboda SK","Period1","Ersboda SK - Vindelns IF","Straff","Björn Glad","Daniel Johannesson","Björn Glad, Daniel Johannesson"
"10",10,"Straffmål","16:59","2-5","Tilde Linrin","Röbäcks IF","Period2","Röbäcks IF - IBF Dalen","Straff","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"11",11,"Straffmål","05:17","3-2","Emilia Dahlkvist","Skellefteå IBK","Period3","Skellefteå IBK - Obbola IK","Straff","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"12",12,"Straffmål","18:11","4-0","Ida Eriksson","Vindelns IF","Period2","Vindelns IF - IBF Dalen","Straff","Marcus Gabrielsson","Joni Güzel","Marcus Gabrielsson, Joni Güzel"
"13",13,"Räddad straff","19:18","","Moa Höök","Gimonäs Umeå IF","Period2","Gimonäs Umeå IF - Team Thorengruppen SK","Straff","Albin Berglund","Linus Berglund","Albin Berglund, Linus Berglund"
"14",14,"Straffmål","09:12","1-1","Olivia Hjalmarsson","Obbola IK","Period2","Täfteå IK /Sävar IK - Obbola IK","Straff","Julia Fältén","Alvina Mukkala","Julia Fältén, Alvina Mukkala"
